Tên sản phẩm,Tên cửa hàng,Giá,Thương hiệu,Lượt đánh giá,Điểm đánh giá trung bình,Số lượng đã bán,Category,Currency,Cluster
Đầm Jean Nữ Thời Trang,THỜI TRANG TINA,235000.0,OEM,4.0,4.3,11.0,Đầm,VND,0
Đầm Jean Nữ Thắt Dây Eo Thời Trang,THỜI TRANG TINA,199000.0,OEM,1.0,4.0,2.0,Đầm,VND,0
Đầm Xòe Công Sở Phối Lưới Thời Trang,THỜI TRANG TINA,148500.0,OEM,1.0,4.0,1.0,Đầm,VND,0
Đầm Nữ Thời Trang Phối Hoa Rời-V6,THỜI TRANG TINA,149000.0,OEM,1.0,1.0,2.0,Đầm,VND,0
Đầm xòe nhún vai kết hạt trai thời trang a b c,THỜI TRANG TINA,99000.0,OEM,28.0,3.3,67.0,Đầm,VND,0
Váy Đầm Che Bụng Thời Trang VH91 - Hàng Quảng Châu Cao Cấp,Avashop Thời Trang,370000.0,OEM,1.0,5.0,5.0,Váy,VND,0
Đầm nữ bông xếp tầng thời trang,Hương Nemo Style,155000.0,VONESA,1.0,4.0,5.0,Đầm,VND,0
Đầm nữ tay lưới dáng xòe thời trang,Hương Nemo Style,145000.0,VONESA,1.0,5.0,1.0,Đầm,VND,0
Đầm nữ voan lụa thời trang cao cấp,Hương Nemo Style,145000.0,VONESA,1.0,4.0,1.0,Đầm,VND,0
ĐẦM XOÈ CÔNG SỞ DỰ TIỆC RÚT EO THỜI TRANG HÀN QUỐC DN20101101,DONA Thời Trang,194000.0,OEM,1.0,4.0,1.0,Đầm,VND,0
Đầm Ngắn Sơmi Nữ Thời Trang JUNO Thun Eo JNDLU014,JUNO,595000.0,Juno,1.0,5.0,3.0,Đầm,VND,0
Đầm Dài Nữ Thời Trang JUNO Dây Bản To JNDLU024 - M,JUNO,595000.0,Juno,1.0,5.0,1.0,Đầm,VND,0
Đầm Mini Nữ Thời Trang JUNO Tay Vai Lệch JNDLU021,JUNO,595000.0,Juno,1.0,5.0,1.0,Đầm,VND,0
Đầm Midi Nữ Thời Trang JUNO Kiểu Hai Dây Cut Out JNDLU043,JUNO,595000.0,Juno,1.0,5.0,1.0,Đầm,VND,0
Đầm Xoè Nữ Tim Trắng cổ Bèo Cột Nơ Xoè Nhẹ Đuôi Cá Thời Trang,Mây Đầm Thiết Kế,220000.0,OEM,7.0,4.7,24.0,Đầm,VND,0
"Váy sơ mi nữ dáng dài chất liệu đũi mềm mát, thời trang hè nữ ARCTIC HUNTER AH162",Hai Fashion,299000.0,ARCTIC HUNTER,4.0,4.0,21.0,Áo,VND,0
"Đầm váy nữ thời trang họa tiết kiểu mùa hè Hàn Quốc dành cho phái nữ, Đầm nữ dáng xoè ARCTIC HUNTER AH35",Hai Fashion,199000.0,ARCTIC HUNTER,1.0,3.0,2.0,Váy,VND,0
"váy trễ vai trắng tay bồng dáng dài, đầm trễ vai tiểu thư dự tiệc màu trắng điệu đà",Thời trang Jellystore,90000.0,OEM,63.0,4.5,124.0,Váy,VND,0
VÁY ĐẦM XÒE MÀU ĐEN PHỐI CỔ TRẮNG ĐÍNH PHỤ KIỆN THANH LỊCH SIZE TỪ 40-70KG,THỜI TRANG TINA,149000.0,OEM,9.0,3.1,20.0,Váy,VND,0
Kính chống ánh sáng xanh chống tia UV Xiaomi mijia tiện dụng,Yingduoduo,379000.0,Xiaomi,1.0,5.0,3.0,Mắt Kính,VND,0
Váy đầm xòe dự tiệc công chúa màu trắng thanh lịch duyên dáng có bigsize mẫu mới giá rẻ đẹp,THỜI TRANG TINA,219000.0,OEM,1.0,5.0,6.0,Váy,VND,0
Đầm xòe sọc caro phối cổ trắng xinh xắn thanh lịch đủ size từ 38-71kg,THỜI TRANG TINA,139000.0,OEM,1.0,4.0,5.0,Đầm,VND,0
Đầm Xòe Hoa Xanh Cổ Ren Trắng Kèm Thắt Lưng Rời Chất Lụa Mango Nhập Cao Cấp Có Lót Trong Thanh Lịch 5 Size Mộc Garden,THỜI TRANG TINA,225000.0,OEM,1.0,5.0,2.0,Đầm,VND,0
ĐẦM XÒE CỔ VE TRẮNG THẮT EO DUYÊN DÁNG SIZE TỪ 40-71KG,THỜI TRANG TINA,149000.0,OEM,1.0,2.0,2.0,Đầm,VND,0
Kính Mát Chống Xiaomi Mijia Chống Tia UV400 Kiểu Dáng Thể Thao Năng Động,Yingduoduo,560000.0,Xiaomi,3.0,4.7,10.0,Mắt Kính,VND,0
"Xiaomi Mijia Pilota Kính râm phân cực  chống UV400 cho nam giới và phụ nữ lái xe chung, du lịch, quà tặng",Yingduoduo,729000.0,Xiaomi,8.0,5.0,11.0,Mắt Kính,VND,0
Kính đi nắng chống UV phân cực Xiaomi TS Turok Steinhardt bản Cao Cấp CHÍNH HÃNG-Hàng chính hãng,Yingduoduo,760000.0,Xiaomi,4.0,4.8,9.0,Mắt Kính,VND,0
Máy Sấy Và Khử Trùng Giày Xiaomi Youpin SOTHING DSHJ-S-1904 Zero-One Cầm Tay,Yingduoduo,334000.0,Xiaomi,2.0,5.0,7.0,Giày,VND,0
Xiaomi Kính Mát  Luke Chống Tia UV400 Chống Tia UV Cho Nam Nữ,MOKOEZ,561000.0,Xiaomi,1.0,5.0,2.0,Mắt Kính,VND,0
Balo Đựng Laptop 15.6 Inch Mark Ryden MR9813 Phong Cách Doanh Nhân Đơn Giản Thời Trang,YuanBao Global Store,559000.0,Mark Ryden,1.0,5.0,2.0,Balo/Cặp,VND,0
Áo Bơi Nam Dài Tay DIVE&SAIL (Size,Purger flagship store,1260000.0,DIVE&SAIL,1.0,5.0,3.0,Áo,VND,0
Bộ Đồ Lặn Biển Nữ Sbart - Tím,Purger flagship store,955000.0,SBART,1.0,4.0,2.0,Bộ,VND,0
Áo Bơi Nam Không Tay Kéo Khóa,Purger flagship store,949000.0,DIVE&SAIL,2.0,5.0,2.0,Áo,VND,0
Túi đeo chéo MARK RYDEN chống nước dành cho nam,YuanBao Global Store,529000.0,Mark Ryden,1.0,5.0,1.0,Túi,VND,0
Bộ Đồ Lặn Biển Nữ Sbart,Purger flagship store,918000.0,SBART,1.0,4.0,1.0,Bộ,VND,0
Áo đi xe đạp dài tay dành cho nam nữ làm bằng vải Polyester nhanh khô thoáng khí thoát ẩm-Màu vàng-Size N,Ideal outdoors,349000.0,WOSAWE,1.0,1.0,2.0,Áo,VND,0
Men's Rashguard Top Long Sleeve Swimsuit Spandex Elastic Snorkeling Surf Beach Clothing,Pugena flagship store,842000.0,SBART,1.0,4.0,0.0,Khác,VND,0
Women's Snorkeling Suit Short Sleeve One-Piece Swimwear Rashguard Lycra Surf Clothing Sbart,Purger flagship store,876000.0,SBART,1.0,4.0,4.0,Khác,VND,0
Bộ Đồ Bơi Dài Tay Bảo Vệ Cho Nam SBART ,Purger flagship store,867000.0,SBART,1.0,1.0,4.0,Bộ,VND,0
Ladies Short-Sleeved One-Piece Swimsuit Lycra Tight Surf Snorkeling Beachwear,Purger flagship store,848000.0,SBART,1.0,4.0,1.0,Khác,VND,0
Áo Bơi Dài Tay Khóa Kéo Bảo Vệ Cho Nữ SBART,Purger flagship store,745000.0,SBART,1.0,1.0,2.0,Áo,VND,0
Đồ Lặn Biển Cho Nam,Purger flagship store,999999.0,SBART,1.0,4.0,1.0,Khác,VND,0
"váy trễ vai trắng tay bồng dáng dài, đầm trễ vai tiểu thư dự tiệc màu trắng điệu đà",CỬA HÀNG LINH LINH,80000.0,OEM,43.0,4.5,135.0,Váy,VND,0
"Đầm xòe trắng dự tiệc cổ bẻ đính nút sang trọng, dáng đẹp GR186",Misa Fashion,165000.0,OEM,10.0,4.6,31.0,Đầm,VND,0
Đầm xòe đỏ kết hoa trắng-MS0605D,KHANH LINH STYLE,190000.0,KHANH LINH STYLE,21.0,4.8,78.0,Đầm,VND,0
Đầm nữ dự tiệc màu trắng dáng xòe cổ V,Mây Đầm Thiết Kế,300000.0,OEM,14.0,4.5,42.0,Đầm,VND,0
Đầm Ren Trắng Dễ Thương Kiểu Dạo Phố DN062 MayHomes,MAYHOMES Official Store,150000.0,MAYHOMES,3.0,4.7,11.0,Đầm,VND,0
"váy trễ vai trắng tay bồng dáng dài, đầm trễ vai tiểu thư dự tiệc sang chảnh",SUZYVI,85000.0,OEM,35.0,5.0,51.0,Váy,VND,0
Đầm Midi Trắng Cổ Vuông Viền Ren Thanh Lịch Nữ Tính Tay Ngắn,Mây Đầm Thiết Kế,320000.0,OEM,4.0,4.8,21.0,Đầm,VND,0
Đầm trắng xéo vai Laver Dress Gem Clothing SP001107,Gem clothing,560000.0,G.E.M,1.0,5.0,2.0,Váy,VND,0
"váy trễ vai trắng tay bồng dáng dài, đầm trễ vai tiểu thư dự tiệc màu trắng điệu đà",Vanvan,80000.0,OEM,18.0,4.6,40.0,Váy,VND,0
"Set váy yếm nữ 2 dây, đầm nữ dài maxi phối trắng dáng ulzang phong cách hàn quốc cá tính ( không kèm áo)",shop linh linh,92000.0,OEM,22.0,4.5,31.0,Áo,VND,0
"váy trễ vai trắng tay bồng dáng dài, đầm trễ vai tiểu thư dự tiệc sang chảnh",shop linh linh,79000.0,OEM,27.0,5.0,39.0,Váy,VND,0
Đầm trắng trễ vai cúc bọc siêu xinh  -  Váy trễ vai tiểu thư xinh xắn,Yume86 Shop,199000.0,OEM,1.0,5.0,1.0,Váy,VND,0
Đầm voan trắng công chúa xòe xếp tầng siêu xinh (hình thật/sẵn) - Đầm trắng dự tiệc,Yume86 Shop,189000.0,OEM,1.0,5.0,0.0,Đầm,VND,0
"Đầm maxi dài trắng, dáng xòe, đẹp nhẹ nhàng, tinh khôi, lưng trần đan dây quyến rũ | MX028",monkibaby,280000.0,OEM,1.0,2.0,4.0,Đầm,VND,0
Thiết Kế Thời Trang Barbie - Thời Trang Du Lịch,Nhà sách Fahasa,24300.0,OEM,2.0,5.0,13.0,Khác,VND,0
Barbie Thiết Kế Thời Trang - Tín Đồ Thời Trang,Nhà sách Fahasa,28800.0,OEM,2.0,5.0,8.0,Khác,VND,0
Đầm Jean Nữ Thời Trang,THỜI TRANG TINA,188000.0,OEM,9.0,4.3,37.0,Đầm,VND,0
ĐẦM BẦU THỜI TRANG DN19081712,DONA Thời Trang,170000.0,OEM,5.0,4.5,16.0,Đầm,VND,0
CHÂN VÁY CÁCH ĐIỆU THỜI TRANG,THỜI TRANG BOBOSHOP,130000.0,OEM,1.0,5.0,2.0,Váy,VND,0
"Cắt May Thời Trang - Các Kiểu Váy, Áo, Thời Trang Nữ",Việt Thư Books,55500.0,OEM,13.0,4.8,89.0,Áo,VND,0
Áo kiểu bo eo thời trang,Thời Trang MYMYSHOP,169000.0,OEM,2.0,3.5,22.0,Áo,VND,0
Kính Thời Trang Mắt Tròn To Ulzzang Thời Trang (Đồi Mồi),Kính Xinh,89000.0,LALAMIA,1.0,5.0,1.0,Mắt Kính,VND,0
Sét Đồ Bộ Nữ Thời Trang,THỜI TRANG TINA,99000.0,OEM,12.0,3.9,46.0,Bộ,VND,0
Áo Jean Liền Quần Thời Trang,THỜI TRANG TINA,195000.0,OEM,9.0,4.3,33.0,Áo,VND,0
Đầm Yếm Nữ Jean Thời Trang,THỜI TRANG TINA,232000.0,OEM,1.0,1.0,4.0,Đầm,VND,0
Áo kiểu bo ly thời trang,Thời Trang MYMYSHOP,189000.0,OEM,12.0,4.1,42.0,Áo,VND,0
Kính râm Thời Trang Millionaire Màu Hồng thời trang Ulzzang Hàn Quốc,Kính Xinh,200000.0,LALAMIA,1.0,5.0,1.0,Mắt Kính,VND,0
Chân váy Anni phối nút thời trang,Thời Trang MYMYSHOP,185000.0,OEM,10.0,4.2,130.0,Váy,VND,0
Đầm Công Sở Phối Ren Thời Trang,THỜI TRANG TINA,183200.0,OEM,7.0,4.7,16.0,Đầm,VND,0
CHÂN VÁY THỜI TRANG CÔNG SỞ MỚI,THỜI TRANG BOBOSHOP,131000.0,OEM,4.0,4.3,6.0,Váy,VND,0
Balo Mini Nữ Thời Trang cao cấp thời trang – BEE GEE BLNN9020,BEE GEE SHOP,235000.0,Bee Gee,3.0,2.3,7.0,Balo/Cặp,VND,0
Balo Nữ Mini Thời Trang Da Mềm thời trang – BEE GEE BLNN9010,BEE GEE SHOP,820000.0,Bee Gee,1.0,2.0,1.0,Balo/Cặp,VND,0
NÓN MŨ BERE THỜI TRANG DN19111715,DONA Thời Trang,144000.0,OEM,1.0,4.0,4.0,Nón/Mũ,VND,0
Set thời trang 788881,New Sky Shop 18,220000.0,OEM,1.0,5.0,3.0,Bộ,VND,0
Balo Thời Trang Kết Hợp Túi Đeo Chéo Thời Trang HARAS HR278,HARASMALL,250000.0,HARAS,3.0,3.7,21.0,Túi,VND,0
Túi xách nữ thời trang cao cấp thời trang – BEE GEE TN1006,BEE GEE SHOP,180000.0,Bee Gee,1.0,5.0,10.0,Túi,VND,0
BỘ ĐỒ THỜI TRANG MÙA HÈ dn20041302,DONA Thời Trang,99000.0,OEM,4.0,4.5,13.0,Bộ,VND,0
BỘ ĐỒ THỜI TRANG MÙA HÈ dn20041301,DONA Thời Trang,99000.0,OEM,2.0,5.0,4.0,Bộ,VND,0
Áo Sơ Mi Nữ Công Sở Thời Trang,THỜI TRANG TINA,207000.0,OEM,3.0,3.3,12.0,Áo,VND,0
"Mũ nón len bere nữ, Nón bere thời trang dn19111305",DONA Thời Trang,130000.0,OEM,4.0,4.3,24.0,Nón/Mũ,VND,0
